id1,id2,FieldOfStudyName1,FieldOfStudyName2,distance
terms1,terms189,bio,phy,0.212132028033937
terms1,terms190,bio,phy,0.3140063718345553
terms1,terms191,bio,phy,0.09219544170407125
terms1,terms192,bio,phy,0.22803508351687157
terms1,terms193,bio,phy,0.11401754143170621
terms1,terms194,bio,phy,0.1788854350345823
terms1,terms195,bio,phy,0.2163330758252568
terms1,terms196,bio,phy,0.2039607759848327
terms1,terms197,bio,phy,0.11180339720898903
terms1,terms198,bio,phy,0.10198039054947977
terms1,terms199,bio,phy,0.2599999927557432
terms1,terms200,bio,phy,0.24083188588346516
terms2,terms51,bio,comp,0.24758836907391069
terms2,terms52,bio,comp,0.13453624286314145
terms2,terms53,bio,comp,0.3413209726601884
terms2,terms54,bio,comp,0.20223748783827375
terms2,terms55,bio,comp,0.2507987224101326
terms2,terms56,bio,comp,0.20518284714600163
terms2,terms57,bio,comp,0.29698484936275543
terms2,terms58,bio,comp,0.1984943330433882
terms2,terms59,bio,comp,0.17464249371486776
terms2,terms60,bio,comp,0.1603121959021587
terms2,terms61,bio,comp,0.08602325551127502
terms2,terms62,bio,comp,0.22671568100138317
terms2,terms63,bio,comp,0.1345362425862428
terms2,terms64,bio,comp,0.3252691199780146
terms2,terms65,bio,comp,0.33286634038346935
terms2,terms66,bio,comp,0.3623534131622479
terms2,terms67,bio,comp,0.2828427166893039
terms2,terms68,bio,comp,0.25238859242343653
terms2,terms69,bio,comp,0.32449962355337675
terms2,terms70,bio,comp,0.2555386471218267
terms2,terms71,bio,comp,0.3546829563387595
terms2,terms72,bio,comp,0.2404163036386393
terms2,terms73,bio,comp,0.2024845673867575
terms2,terms74,bio,comp,0.36878178540325013
terms2,terms75,bio,comp,0.3679673867979939
terms2,terms76,bio,comp,0.21954498350552915
terms2,terms77,bio,comp,0.34205263654747764
terms2,terms78,bio,comp,0.19416488028507464
terms2,terms79,bio,comp,0.20808652145507178
terms2,terms80,bio,comp,0.24166091977403253
terms2,terms81,bio,comp,0.15811388512889138
terms2,terms82,bio,comp,0.22360680024897966
terms2,terms83,bio,comp,0.11180339720898905
terms2,terms84,bio,comp,0.3190611200928622
terms2,terms85,bio,comp,0.3041381262699374
terms2,terms86,bio,comp,0.2418677346668704
terms2,terms87,bio,comp,0.3535533917523121
terms2,terms88,bio,comp,0.1923538421273287
terms2,terms89,bio,comp,0.20615528363002364
terms2,terms90,bio,comp,0.24413111723429934
terms2,terms91,bio,comp,0.348855273037228
terms2,terms92,bio,comp,0.20591260889128402
terms2,terms93,bio,comp,0.2729468891679033
terms2,terms94,bio,comp,0.17720045086963954
terms2,terms95,bio,comp,0.21213203435596434
